Emoji,ASCII Code,Hex Color
🧑‍🦱,129489,#e6b641
🧑🏻‍🦱,129489,#efc97c
🧑🏼‍🦱,129489,#e5bc6d
🧑🏽‍🦱,129489,#d7aa5c
🧑🏾‍🦱,129489,#c8994b
🧑🏿‍🦱,129489,#ae8d49
👩‍🦳,128105,#e6c26b
👩🏻‍🦳,128105,#f0d197
👩🏼‍🦳,128105,#e6c588
👩🏽‍🦳,128105,#dab478
👩🏾‍🦳,128105,#cca468
👩🏿‍🦳,128105,#b39967
🧑‍🦳,129489,#ebca75
🧑🏻‍🦳,129489,#f2d59d
🧑🏼‍🦳,129489,#e8c78e
🧑🏽‍🦳,129489,#dbb67d
🧑🏾‍🦳,129489,#cca56c
🧑🏿‍🦳,129489,#b2996b
👩‍🦲,128105,#e8bd4d
👩🏻‍🦲,128105,#f1ce85
👩🏼‍🦲,128105,#e7c276
👩🏽‍🦲,128105,#dab166
👩🏾‍🦲,128105,#cca156
👩🏿‍🦲,128105,#b39554
🧑‍🦲,129489,#eec554
🧑🏻‍🦲,129489,#f4d28b
🧑🏼‍🦲,129489,#e9c57b
🧑🏽‍🦲,129489,#dbb36a
🧑🏾‍🦲,129489,#cca258
🧑🏿‍🦲,129489,#b29557
👱‍♀️,128113,#e0bc5a
👱🏻‍♀️,128113,#efd19f
👱🏼‍♀️,128113,#e0bf89
👱🏽‍♀️,128113,#cda772
👱🏾‍♀️,128113,#b98f5a
👱🏿‍♀️,128113,#957e58
👱‍♂️,128113,#e0bc5a
👱🏻‍♂️,128113,#efd19f
👱🏼‍♂️,128113,#e0bf89
👱🏽‍♂️,128113,#cda772
👱🏾‍♂️,128113,#b98f5a
👱🏿‍♂️,128113,#957e58
🧓,129491,#e3b949
🧓🏻,129491,#ecc982
🧓🏼,129491,#e2bc73
🧓🏽,129491,#d4aa62
🧓🏾,129491,#c59951
🧓🏿,129491,#ab8d4f
👴,128116,#eabb40
👴🏻,128116,#f0cb7e
👴🏼,128116,#e5bd6e
👴🏽,128116,#d8ac5e
👴🏾,128116,#c99b4c
👴🏿,128116,#ae8e4b
👵,128117,#e3b647
👵🏻,128117,#ecc882
👵🏼,128117,#e2bb72
👵🏽,128117,#d4a961
👵🏾,128117,#c59850
👵🏿,128117,#aa8c4e
🙍,128589,#ddbe73
🙍🏻,128589,#ebcf9e
🙍🏼,128589,#dfbf8c
🙍🏽,128589,#cfab78
🙍🏾,128589,#bd9764
🙍🏿,128589,#9f8862
🙍‍♂️,128589,#ddbe73
🙍🏻‍♂️,128589,#efd3aa
🙍🏼‍♂️,128589,#e0bf93
🙍🏽‍♂️,128589,#cca67a
🙍🏾‍♂️,128589,#b58c60
🙍🏿‍♂️,128589,#8f7a5e
🙍‍♀️,128589,#ddbe73
🙍🏻‍♀️,128589,#efd3aa
🙍🏼‍♀️,128589,#e0bf93
🙍🏽‍♀️,128589,#cca67a
🙍🏾‍♀️,128589,#b58c60
🙍🏿‍♀️,128589,#8f7a5e
🙎,128590,#debf72
🙎🏻,128590,#ebcf9e
🙎🏼,128590,#dfbf8c
🙎🏽,128590,#cfab78
🙎🏾,128590,#be9764
🙎🏿,128590,#9f8962
🙎‍♂️,128590,#debf72
🙎🏻‍♂️,128590,#efd3a9
🙎🏼‍♂️,128590,#e0bf92
🙎🏽‍♂️,128590,#cca67a
🙎🏾‍♂️,128590,#b68c60
🙎🏿‍♂️,128590,#8f7a5e
🙎‍♀️,128590,#debf72
🙎🏻‍♀️,128590,#efd3a9
🙎🏼‍♀️,128590,#e0bf92
🙎🏽‍♀️,128590,#cca67a
🙎🏾‍♀️,128590,#b68c60
🙎🏿‍♀️,128590,#8f7a5e
🙅,128581,#c8b380
🙅🏻,128581,#dfc7a1
🙅🏼,128581,#d4b990
🙅🏽,128581,#c6a77e
🙅🏾,128581,#b6956c
🙅🏿,128581,#9a886a
🙅‍♂️,128581,#c8b380
🙅🏻‍♂️,128581,#e7ceab
🙅🏼‍♂️,128581,#d9bc96
🙅🏽‍♂️,128581,#c6a47e
🙅🏾‍♂️,128581,#b18c67
🙅🏿‍♂️,128581,#8c7b64
🙅‍♀️,128581,#c8b380
🙅🏻‍♀️,128581,#e7ceab
🙅🏼‍♀️,128581,#d9bc96
🙅🏽‍♀️,128581,#c6a47e
🙅🏾‍♀️,128581,#b18c67
🙅🏿‍♀️,128581,#8c7b64
🙆,128582,#b8a77c
🙆🏻,128582,#d4be9b
🙆🏼,128582,#cbb28c
🙆🏽,128582,#bea17c
🙆🏾,128582,#b0916c
🙆🏿,128582,#97866a
